"ten_co_quan";"ma_so_co_quan"
 Văn phòng Hội đồng nhân dân và Ủy ban nhân dân; T14 500 A01
 Phòng Tài chính - Kế hoạch; T14 500 A03
 Phòng Giáo dục và Đào tạo; T14 500 A04
 Phòng Văn hóa và Thông tin; T14 500 A05
 Phòng Y tế; T14 500 A06
 Phòng Tài nguyên và Môi trường; T14 500 A07
 Phòng Tư pháp; T14 500 A08
 Phòng Kinh tế và Hạ tầng; T14 500 A09
 Thanh tra huyện; T14 500 A10
 Phòng Lao động - Thương binh và Xã hội; T14 500 A11
 Phòng Nông nghiệp và Phát triển nông thôn; T14 500 A12
Trung tâm Văn hóa, Truyền thông và Thể thao;T14 500 B01
Trung tâm Dịch vụ nông nghiệp;T14 500 B02
Trung tâm phát triển quỹ đất; T14 500 B03
Ban Quản lý công trình Thủy lợi Như xuyên; T14 500 B04
Ban quản lý dự án đầu tư xây dựng; T14 500 B05
Hạt quản lý Giao thông; T14 500 B06
Trung tâm Giáo dục nghề nghiệp - Giáo dục thường xuyên; T14 500 B07
Trường Mầm non Kháng Nhật; T14 501 G01
Trường Mầm non Trung Yên; T14 501 G02
Trường Mầm non Minh Thanh; T14 501 G03
Trường Mầm non Tân Trào; T14 501 G04
Trường Mầm non Bình Yên; T14 501 G05
Trường mầm non Hoa Hồng; T14 501 G06
Trường mâm non Hoa Sen; T14 501 G07
Trường Mầm non Tú Thịnh; T14 501 G08
Trường Mầm non Phúc Ứng; T14 501 G09
Trường Mầm non Tam Đa; T14 501 G10
Trường Mầm non Hồng Lạc; T14 501 G11
Trường Mầm non Hào Phú; T14 501 G12
Trường Mầm non Vĩnh Lợi; T14 501 G13
Trường Mầm non Hợp Thành; T14 501 G14
Trường Mầm non Cấp Tiến; T14 501 G15
Trường Mầm non Hợp Hòa; T14 501 G16
Trường Mầm non Ninh Lai; T14 501 G17
Trường Mầm non Sơn Nam; T14 501 G18
Trường Mầm non Đại Phú; T14 501 G19
Trường Mầm non Đông Thọ; T14 501 G20
Trường Mầm non Chi Thiết; T14 501 G21
Trường Mầm non Văn Phú; T14 501 G22
Trường Mầm non Vân Sơn; T14 501 G23
Trường Mầm non Trường Sinh; T14 501 G24
Trường Mầm non Đông Lợi; T14 501 G25
Trường Mầm non Đồng Quý; T14 501 G26
Trường Mầm non Thượng Ấm; T14 501 G27
Trường Mầm non Quyết Thắng; T14 501 G28
Trường Mầm non Tân Thanh; T14 501 G29
Trường Mầm non Thiện Kế; T14 501 G30
Trường Mầm non Phú Lương; T14 501 G31
Trường Mầm non Đông Thọ 2; T14 501 G34
Trường Mầm non Lương Thiện; T14 501 G35
Trường Tiểu học Lương Thiện; T14 502 G01
Trường Tiểu học Đông Thọ 2; T14 502 G02
Trường Tiểu học Kháng Nhật; T14 502 G05
Trường Tiểu học Tôn Đức Thắng; T14 502 G06
Trường Tiểu học 19 Tháng Tám; T14 502 G07
Trường Tiểu học Tân Trào; T14 502 G08
Trường Tiểu học Bình Yên; T14 502 G09
Trường Tiểu học Đăng Châu; T14 502 G10
Trường Tiểu học Tam Đa; T14 502 G13
Trường Tiểu học Hồng Lạc; T14 502 G14
Trường Tiểu học Hào Phú; T14 502 G15
Trường Tiểu học Vĩnh Lợi; T14 502 G16
Trường Tiểu học Hợp Thành; T14 502 G17
Trường Tiểu học Cấp Tiến; T14 502 G18
Trường Tiểu học Hợp Hòa; T14 502 G19
Trường Tiểu học Ninh Lai; T14 502 G20
Trường Tiểu học Sơn Nam; T14 502 G21
Trường Tiểu học Đại Phú; T14 502 G22
Trường Tiểu học Đông Thọ 1; T14 502 G23
Trường Tiểu học Chi Thiết; T14 502 G24
Trường Tiểu học Văn Phú; T14 502 G25
Trường Tiểu học Vân Sơn; T14 502 G26
Trường Tiểu học Lâm Xuyên; T14 502 G27
Trường Tiểu học Đông Lợi; T14 502 G28
Trường Tiểu học Đồng Quý; T14 502 G29
Trường Tiểu học Thượng Ấm; T14 502 G30
Trường Tiểu học Quyết Thắng; T14 502 G31
Trường Tiểu học Thiện Kế; T14 502 G33
Trường Tiểu học Phú Lương; T14 502 G34
Trường Trung học cơ sở Kháng Nhật; T14 503 G01
Trường Trung học cơ sở Trung Yên; T14 503 G02
Trường Trung học cơ sở Minh Thanh; T14 503 G03
Trường Trung học cơ sở Tân Trào; T14 503 G04
Trường Trung học cơ sở Bình Yên; T14 503 G05
Trường Trung học cơ sở Hồng Thái; T14 503 G06
Trường Trung học cơ sở Kỳ Lâm; T14 503 G07
Trường Trung học cơ sở Tam Đa; T14 503 G10
Trường Trung học cơ sở Hồng Lạc; T14 503 G11
Trường Trung học cơ sở Hào Phú; T14 503 G12
Trường Trung học cơ sở Vĩnh Lợi; T14 503 G13
Trường Trung học cơ sở Hợp Thành; T14 503 G14
Trường Trung học cơ sở Cấp Tiến; T14 503 G15
Trường Trung học cơ sở Hợp Hòa; T14 503 G16
Trường Trung học cơ sở Ninh Lai; T14 503 G17
Trường Trung học cơ sở Sơn Nam; T14 503 G18
Trường Trung học cơ sở Đại Phú; T14 503 G19
Trường Trung học cơ sở Đông Thọ 1; T14 503 G20
Trường Trung học cơ sở Chi Thiết; T14 503 G21
Trường Trung học cơ sở Văn Phú; T14 503 G22
Trường Trung học cơ sở Vân Sơn; T14 503 G23
Trường Trung học cơ sở Lâm Xuyên; T14 503 G24
Trường Trung học cơ sở Đông Lợi; T14 503 G25
Trường Trung học cơ sở Đồng Quý; T14 503 G26
Trường Trung học cơ sở Thượng Ấm; T14 503 G27
Trường Trung học cơ sở Quyết Thắng; T14 503 G28
Trường Trung học cơ sở Thiện Kế; T14 503 G30
Trường Trung học cơ sở Phú Lương; T14 503 G31
Trường Trung học cơ sở Lương Thiện; T14 503 G32
Trường Trung học cơ sở Đông Thọ 2; T14 503 G33
Trường TH và THCS Tú Thịnh; T14 504 G01
Trường TH và THCS Lê Văn Hiến; T14 504 G02
Trường TH và THCS Tân Thanh 2; T14 504 G03
Trường TH và THCS Trường Sinh 2; T14 504 G04
Trường Tiểu học và THCS Phúc Ứng; T14 504 G05
Trường TH và THCS Trường Sinh 1; T14 504 G06
Trường TH và THCS Tân Thanh 1; T14 504 G07
Thị trấn Sơn Dương; T14 500 X01
Xã Trung Yên; T14 500 X02
Xã Minh Thanh; T14 500 X03
Xã Tân Trào; T14 500 X04
Xã Vĩnh Lợi; T14 500 X05
Xã Thượng Ấm; T14 500 X06
Xã Bình Yên; T14 500 X07
Xã Lương Thiện; T14 500 X08
Xã Tú Thịnh; T14 500 X09
Xã Cấp Tiến; T14 500 X10
Xã Hợp Thành; T14 500 X11
Xã Phúc Ứng; T14 500 X12
Xã Đông Thọ; T14 500 X13
Xã Kháng nhật; T14 500 X14
Xã Hợp Hòa; T14 500 X15
 xã Tân Thanh; T14 500 X16
Xã Quyết Thắng; T14 500 X17
Xã Đồng Quý; T14 500 X18
Xã Trường Sinh; T14 500 X19
Xã Vân Sơn; T14 500 X20
Xã Văn Phú; T14 500 X21
Xã Chi Thiết; T14 500 X22
Xã Đông Lợi; T14 500 X23
Xã Thiện Kế; T14 500 X24
 Xã Hồng Lạc; T14 500 X25
Xã Phú Lương; T14 500 X26
Xã Ninh Lai; T14 500 X27
Xã Đại Phú; T14 500 X28
Xã Sơn Nam; T14 500 X29
Xã Hào Phú; T14 500 X30
Xã Tam Đa; T14 500 X31
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
